GameNo,Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
1,2017-01-09,Aishwarya Lutchman Singh,Chris Fox,75,1754,E1,0.5,1432,0.12,0.12,0.5
2,2017-01-23,Aishwarya Lutchman Singh,Dwain Jones,135,1245,E1,0,1409,0.85,0.73,0.5
3,2017-01-30,Aishwarya Lutchman Singh,David Llewellyn,164,1923,E1,0,1406,0.95,0.1,0.5
4,2017-02-04,Aishwarya Lutchman Singh,Max Lazarus,NA,1299,G1,0,1384,1.62,0.67,0.5
5,2017-02-04,Aishwarya Lutchman Singh,Ifan Rathbone-Jones,NA,1733,N1,0,1380,1.75,0.13,0.5
6,2017-02-04,Aishwarya Lutchman Singh,Duncan MacDonald,173,1387,E1,0,1362,2.3,0.55,0.5
7,2017-02-05,Aishwarya Lutchman Singh,Callum Smith,246,1082,E1,0.5,1350,3.18,0.88,1
8,2017-02-05,Aishwarya Lutchman Singh,Neya Govindaraj,84,1388,E1,0.5,1349,3.73,0.55,1.5
9,2017-02-20,Aishwarya Lutchman Singh,Ken Hannah,98,1677,E1,0,1343,3.91,0.18,1.5
10,2017-02-27,Aishwarya Lutchman Singh,Hugh Davies,53,1293,E1,1,1353,4.58,0.67,2.5
11,2017-03-04,Aishwarya Lutchman Singh,Imogen Camp,NA,1870,N1,0,1350,4.68,0.1,2.5
12,2017-03-04,Aishwarya Lutchman Singh,Petko Petkov,NA,1661,N1,0,1344,4.88,0.2,2.5
13,2017-03-04,Aishwarya Lutchman Singh,George Smith,NA,1443,G1,1,1361,5.35,0.47,3.5
14,2017-03-05,Aishwarya Lutchman Singh,Curtis Reid,NA,850,Est,1,1364,6.25,0.9,4.5
15,2017-03-05,Aishwarya Lutchman Singh,Karanvir Lutchman Singh,169,1687,E1,0,1359,6.42,0.17,4.5
16,2017-03-05,Aishwarya Lutchman Singh,Callum Smith,246,1082,E1,1,1362,7.3,0.88,5.5
17,2017-03-06,Aishwarya Lutchman Singh,Cyril Ley,162,1670,E1,0.5,1372,7.49,0.19,6
18,2017-03-13,Aishwarya Lutchman Singh,Philip French,NA,1904,G1,0,1369,7.59,0.1,6
19,2017-03-27,Aishwarya Lutchman Singh,Rosie Christmas,33,1039,E1,1,1372,8.49,0.9,7
20,2017-04-03,Aishwarya Lutchman Singh,Sam White,285,1411,E1,0,1356,9,0.51,7
21,2017-04-12,Aishwarya Lutchman Singh,Alan Spice,253,2068,E1,0,1353,9.1,0.1,7
22,2017-04-10,Aishwarya Lutchman Singh,Edward Mason,181,1422,E1,0,1337,9.6,0.5,7
23,2017-04-14,Aishwarya Lutchman Singh,Sam Jukes,144,1947,E2,0,1334,9.7,0.1,7
24,2017-04-14,Aishwarya Lutchman Singh,Bob Hurn,120,1680,E2,0,1328,9.88,0.18,7
25,2017-04-15,Aishwarya Lutchman Singh,Steve Williams (Cwm),NA,1708,G2,0,1323,10.03,0.15,7
26,2017-04-15,Aishwarya Lutchman Singh,Daniel Jaberansari,124,1463,E2,0.5,1325,10.47,0.44,7.5
