name,zone,club,grade,title,last_played,player_key,profile_url,name_clean
Aaron Burgess,W1,NA,850,NA,NA,p162,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p162.php,aaron burgess
Aaron Lloyd-Thorne,W1,NA,961,NA,NA,p122,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p122.php,aaron lloyd-thorne
Adam Jones,W1,NA,1445,NA,NA,p61,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p61.php,adam jones
Adam Lewis,W1,NA,1103,NA,NA,p111,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p111.php,adam lewis
Adam May,W1,NA,1949,NA,NA,p15,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p15.php,adam may
Adrian Davies,W1,NA,1678,NA,NA,p39,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p39.php,adrian davies
Alan Bennett,W1,NA,2146,NA,NA,p3,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p3.php,alan bennett
Alan Rosser,W1,NA,1347,NA,NA,p75,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p75.php,alan rosser
Alan Welch,W1,NA,1256,NA,NA,p87,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p87.php,alan welch
Alan Xiao,W1,NA,1607,NA,NA,p46,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p46.php,alan xiao
Alan Young,W1,NA,2081,NA,NA,p4,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p4.php,alan young
Albert Easton,W1,NA,1535,NA,NA,p52,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p52.php,albert easton
Aled George,W1,NA,1562,NA,NA,p47,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p47.php,aled george
Alex Dowling,W1,NA,850,NA,NA,p147,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p147.php,alex dowling
Alwyn Morris,W1,NA,1099,NA,NA,p112,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p112.php,alwyn morris
Alwyn Thomas,W1,NA,1120,NA,NA,p108,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p108.php,alwyn thomas
Andrew Fraser-Cole,W1,NA,1402,NA,NA,p67,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p67.php,andrew fraser-cole
Andrew Gibbons,W1,NA,2048,NA,NA,p8,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p8.php,andrew gibbons
Andrew Smith,W1,NA,1667,NA,NA,p41,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p41.php,andrew smith
Angharad Jenkins,W1,NA,890,NA,NA,p129,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p129.php,angharad jenkins
Bill Flew,W1,NA,1504,NA,NA,p56,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p56.php,bill flew
Bill Hewitt,W1,NA,2020,NA,NA,p9,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p9.php,bill hewitt
Bob Moore,W1,NA,1862,NA,NA,p21,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p21.php,bob moore
Brian Morris,W1,NA,850,NA,NA,p152,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p152.php,brian morris
Brian Rees,W1,NA,869,NA,NA,p135,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p135.php,brian rees
Brian Tonks,W1,NA,1624,NA,NA,p44,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p44.php,brian tonks
Carl Davies,W1,NA,1895,NA,NA,p18,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p18.php,carl davies
Cecil Rowland,W1,NA,1323,NA,NA,p78,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p78.php,cecil rowland
Chris Daniel,W1,NA,1687,NA,NA,p38,https://www.welshchessunion.uk/Grading/xarchive/west/JanJune2010/p38.php,chris daniel
