name,zone,club,grade,title,last_played,player_key,profile_url,name_clean
Alex Sen,D1,NA,963,NA,NA,41,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=41,alex sen
Anthony Geraghty,D1,NA,1406,NA,NA,27,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=27,anthony geraghty
Awne Osinga,D1,NA,1468,NA,NA,25,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=25,awne osinga
Caerwyn Owen,D1,NA,1589,NA,NA,19,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=19,caerwyn owen
Colin Denham,D1,NA,1639,NA,NA,12,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=12,colin denham
David Ferguson,D1,NA,1712,NA,NA,9,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=9,david ferguson
David Moore,D1,NA,1438,NA,NA,26,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=26,david moore
Emyr Llywelyn,D1,NA,973,NA,NA,40,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=40,emyr llywelyn
Georgina Gray,D1,NA,1269,NA,NA,33,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=33,georgina gray
Gerry Heap,D1,NA,2127,NA,NA,3,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=3,gerry heap
Howard Leah,D1,NA,1606,NA,NA,16,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=16,howard leah
Howard Williams,D1,NA,2324,NA,NA,1,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=1,howard williams
Huw Morcom,D1,NA,1924,NA,NA,6,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=6,huw morcom
Ian Finlay,D1,NA,1370,NA,NA,28,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=28,ian finlay
Iolo Jones,D1,NA,2230,NA,NA,2,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=2,iolo jones
Iwan Griffiths,D1,NA,1610,NA,NA,15,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=15,iwan griffiths
James Cook,D1,NA,1481,NA,NA,23,https://www.welshchessunion.uk/Grading/xarchive/dyfed/JanJune2013/pr.php?id=23,james cook
