name,zone,club,grade,title,last_played,player_key,profile_url,name_clean
Adam Jenkins,G1,NA,1357,NA,NA,82,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=82,adam jenkins
Alex Anderson,G1,NA,1011,NA,NA,100,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=100,alex anderson
Andrew Owen,G1,NA,1824,NA,NA,38,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=38,andrew owen
Anna Boyle,G1,NA,850,NA,NA,113,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=113,anna boyle
Brian Heath,G1,NA,1595,NA,NA,62,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=62,brian heath
Brian Hill,G1,NA,1204,NA,NA,91,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=91,brian hill
Brian Ross,G1,NA,1474,NA,NA,72,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=72,brian ross
Carl Bennett,G1,NA,1226,NA,NA,90,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=90,carl bennett
Caspian Fowler,G1,NA,1396,NA,NA,78,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=78,caspian fowler
Chris Dixon,G1,NA,1861,NA,NA,35,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=35,chris dixon
Chris Reading,G1,NA,1644,NA,NA,56,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=56,chris reading
Christopher Robertson,G1,NA,1313,NA,NA,86,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=86,christopher robertson
Clive Thomas,G1,NA,1750,NA,NA,115,https://www.welshchessunion.uk/Grading/xarchive/gwent/JulyDec2014/pr.php?id=115,clive thomas
