name,zone,club,grade,title,last_played,player_key,profile_url,name_clean
Jose Camacho Collados,E1,NA,2456,IM,2020-03-01,e1 jose camacho collados,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20jose%20camacho%20collados,jose camacho collados
Daniel Kozusek,E1,NA,2425,FM,2020-03-01,e1 daniel kozusek,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20daniel%20kozusek,daniel kozusek
Ioan Rees,E1,NA,2338,FM,NA,e1 ioan rees,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20ioan%20rees,ioan rees
Howard Williams,D1,NA,2333,FM,2020-03-02,d1 howard williams,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=d1%20howard%20williams,howard williams
Grzegorz Toczek,E1,NA,2320,FM,2020-01-26,e1 grzegorz toczek,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20grzegorz%20toczek,grzegorz toczek
Jonathan LB Blackburn,N1,NA,2316,FM,2020-03-10,n1 jonathan lb blackburn,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20jonathan%20lb%20blackburn,jonathan lb blackburn
Richard Dineley,N1,NA,2309,CM,2020-02-18,n1 richard dineley,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20richard%20dineley,richard dineley
Elijah Everett,N1,NA,2300,NA,2020-02-25,n1 elijah everett,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20elijah%20everett,elijah everett
Tim Kett,E1,NA,2264,CM,2020-03-10,e1 tim kett,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20tim%20kett,tim kett
Sven Zeidler,N1,NA,2259,FM,2020-03-12,n1 sven zeidler,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20sven%20zeidler,sven zeidler
Carl Strugnell,E1,NA,2255,FM,2020-01-04,e1 carl strugnell,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20carl%20strugnell,carl strugnell
Peter Varley,G1,NA,2248,FM,2020-02-19,g1 peter varley,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20peter%20varley,peter varley
Roy Phillips,W1,NA,2217,FM,2020-02-19,w1 roy phillips,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20roy%20phillips,roy phillips
Jane Richmond,G1,NA,2177,WFM,2020-03-01,g1 jane richmond,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20jane%20richmond,jane richmond
Gerry Heap,D1,NA,2168,NA,2020-03-04,d1 gerry heap,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=d1%20gerry%20heap,gerry heap
David J James,N1,NA,2161,FM,2020-03-12,n1 david j james,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20david%20j%20james,david j james
Olivia Smith,E1,NA,2159,WFM,2020-03-11,e1 olivia smith,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20olivia%20smith,olivia smith
Tom Brown,E1,NA,2158,NA,2020-03-03,e1 tom brown,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20tom%20brown,tom brown
