name,zone,club,grade,title,last_played,player_key,profile_url
Nigel R Davies,N1,NA,2474,GM,2022-06-26,n1 nigel r davies,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=n1%20nigel%20r%20davies
Jose Camacho Collados,E1,NA,2461,IM,2022-06-26,e1 jose camacho collados,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20jose%20camacho%20collados
Richard Jones,N1,NA,2417,IM,NA,n1 richard jones,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=n1%20richard%20jones
Daniel Kozusek,E1,NA,2411,FM,2022-05-29,e1 daniel kozusek,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20daniel%20kozusek
Howard Williams,D1,NA,2340,FM,NA,d1 howard williams,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=d1%20howard%20williams
Ioan Rees,E1,NA,2338,FM,NA,e1 ioan rees,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20ioan%20rees
Grzegorz Toczek,E1,NA,2328,FM,2022-04-18,e1 grzegorz toczek,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20grzegorz%20toczek
Jonathan LB Blackburn,G1,NA,2308,FM,2022-06-26,g1 jonathan lb blackburn,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20jonathan%20lb%20blackburn
Richard Dineley,N1,NA,2306,CM,2022-05-03,n1 richard dineley,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=n1%20richard%20dineley
Elijah Everett,N1,NA,2297,NA,2022-04-17,n1 elijah everett,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=n1%20elijah%20everett
Peter Varley,G1,NA,2249,FM,NA,g1 peter varley,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20peter%20varley
Tim Kett,E1,NA,2246,CM,2022-06-26,e1 tim kett,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20tim%20kett
Sven Zeidler,N1,NA,2234,FM,2022-06-28,n1 sven zeidler,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=n1%20sven%20zeidler
Roy Phillips,W1,NA,2230,FM,2021-09-08,w1 roy phillips,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20roy%20phillips
David Jameson,N1,NA,2204,NA,NA,n1 david jameson,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=n1%20david%20jameson
Tom Brown,E1,NA,2203,NA,2022-06-22,e1 tom brown,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20tom%20brown
Carl Strugnell,E1,NA,2198,FM,NA,e1 carl strugnell,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20carl%20strugnell
Ernest Gibiec,G1,NA,2186,NA,NA,g1 ernest gibiec,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20ernest%20gibiec
Jane Richmond,G1,NA,2186,WFM,2022-05-15,g1 jane richmond,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20jane%20richmond
Gerry Heap,D1,NA,2174,NA,NA,d1 gerry heap,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=d1%20gerry%20heap
Francis Rayner,G1,NA,2163,NA,NA,g1 francis rayner,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20francis%20rayner
Vlad Stejeroiu,W1,NA,2152,NA,NA,w1 vlad stejeroiu,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20vlad%20stejeroiu
Alan Young,W1,NA,2144,NA,2022-04-20,w1 alan young,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20alan%20young
Olivia Smith,E1,NA,2141,WFM,2022-05-15,e1 olivia smith,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20olivia%20smith
Adam Musson,W1,NA,2134,NA,2022-03-13,w1 adam musson,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20adam%20musson
Adam Rakos,G1,NA,2133,NA,NA,g1 adam rakos,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20adam%20rakos
David J James,N1,NA,2120,FM,NA,n1 david j james,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=n1%20david%20j%20james
Charles F Morris,N1,NA,2119,NA,2022-06-29,n1 charles f morris,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=n1%20charles%20f%20morris
Gareth Morris,W1,NA,2117,NA,2022-03-22,w1 gareth morris,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20gareth%20morris
Pete Heaven,E1,NA,2115,NA,2022-05-15,e1 pete heaven,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20pete%20heaven
Peter A Richmond,G1,NA,2113,NA,2022-05-02,g1 peter a richmond,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20peter%20a%20richmond
Allan Pleasants,E1,NA,2110,NA,2022-05-15,e1 allan pleasants,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20allan%20pleasants
Lloyd Powell,G1,NA,2108,NA,NA,g1 lloyd powell,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20lloyd%20powell
John Fletcher,E1,NA,2103,NA,2022-06-24,e1 john fletcher,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20john%20fletcher
Alex Bullen,E1,NA,2098,CM,2022-06-26,e1 alex bullen,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20alex%20bullen
James Lavender,G1,NA,2092,NA,2022-04-18,g1 james lavender,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20james%20lavender
Thomas Thorpe,G1,NA,2089,NA,2021-11-03,g1 thomas thorpe,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20thomas%20thorpe
William Hewitt,W1,NA,2087,NA,2022-04-12,w1 william hewitt,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20william%20hewitt
